Month, Year, Carrier_Name, model_id, Num_Customers
11,2008,AT&T,ASDASDASDGH-123QWE3ASDCD123123TT,1
11,2008,AT&T,ASDASDASDGH-12386ASDZK123123TT,1
11,2008,AT&T,ASDASDASDGH-123ASD3ASDZO123123TT,1
11,2008,SPRINT,ASDASDASDPH-M5QWE0ZR123ASDASDASDPR,1
11,2008,SPRINT,ASDASDASDPH-M620ZR123ASDASDASDPR,1
11,2008,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,5
11,2008,T-MOBILE,ASDASDASDGH-T919CNBTMB,1
11,2008,T-MOBILE,ASDASDASDGH-TASD29ZKBTMB,1
11,2008,T-MOBILE,ASDASDASDGH-TQWE59BG123TMB,1
11,2008,VERIZON,ASDASDASDCH-U3QWE0ZBDVZW,1
11,2008,VERIZON,ASDASDASDCH-U3QWE0ZB123VZW,1
11,2008,VERIZON,ASDASDASDCH-UASDQWE0Z123123VZW,1
11,2008,VIRGIN MOBILE,ASDASDASDPH-M310ZK123VMU,2
12,2008,AT&T,ASDASDASDGH-I90ASDZK123123TT,1
12,2008,AT&T,ASDASDASDGH-I61ASDZK123123TT,1
12,2008,AT&T,ASDASDASDGH-12383ASDDK123123TT,2
12,2008,AT&T,ASDASDASDGH-12386ASDZK123123TT,1
12,2008,AT&T,ASDASDASDGH-12351ASDZK123123TT,1
12,2008,AT&T,ASDASDASDGH-12323ASDRK123123TT,1
12,2008,AT&T,ASDASDASDGH-I61ASDTI123123TT,1
12,2008,AT&T,ASDASDASDGH-I61ASDWR123123TT,2
12,2008,AT&T,ASDASDASDGH-123ASD3ASDZR123123TT,1
12,2008,AT&T,ASDASDASDGH-123ASD6ASDWR123123TT,1
12,2008,SPRINT,ASDASDASDPH-M5QWE0ZK123ASDASDASDPR,1
12,2008,SPRINT,ASDASDASDPH-M5QWE0ZR123ASDASDASDPR,2
12,2008,SPRINT,ASDASDASDPH-M320ZASDASDASD123ASDASDASDPR,2
12,2008,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,2
12,2008,SPRINT,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
12,2008,T-MOBILE,ASDASDASDGH-TASD29ZKBTMB,1
