Campaign_Name,Audience,Version,Subject_Line,Deployment_Date,Delivered,numOpened,Open_Rate,Click_to_Open_Rate,Click_Rate,Unsub_Rate
"PO_BRX PRC",,P7,,"2014-05-30 00:00:00",4,1,0.2500,0.0000,0.0000,0.0000
"PO_BRX PRC",,P8,,"2014-11-08 00:00:00",5,3,0.6000,0.6667,0.4000,0.0000
"PO_BRX PRC",,P9,,"2014-11-15 00:00:00",3,1,0.3333,1.0000,0.3333,0.0000
"PO_BRX PRC",,Q1,,"2014-05-13 00:00:00",1411,380,0.2693,0.2053,0.0553,0.0007
"PO_BRX PRC",,Q1,S1,"2015-03-11 00:00:00",159,29,0.1824,0.1724,0.0314,0.0000
"PO_BRX PRC",,Q1,S2,"2015-03-10 00:00:00",133,24,0.1791,0.0833,0.0149,0.0000
"PO_BRX PRC",,Q2,,"2014-07-23 00:00:00",1637,389,0.2376,0.3111,0.0739,0.0006
"PO_BRX PRC",,Q3,,"2014-06-14 00:00:00",1597,286,0.1791,0.1538,0.0276,0.0000
"PO_BRX PRC",,Q4,,"2014-06-19 00:00:00",1272,228,0.1792,0.0877,0.0157,0.0000
"PO_BRX PRC",,Q4,S1,"2015-03-08 00:00:00",113,18,0.1593,0.0000,0.0000,0.0000
"PO_BRX PRC",,Q4,S2,"2015-03-25 00:00:00",111,19,0.1712,0.0526,0.0090,0.0090
"PO_BRX PRC",,Q5,,"2014-10-17 00:00:00",1469,294,0.2001,0.3129,0.0626,0.0014
"PO_BRX PRC",,Q6,,"2014-06-22 00:00:00",1218,215,0.1764,0.1070,0.0189,0.0000
"PO_BRX PRC",,Q6,S1,"2015-04-14 00:00:00",123,16,0.1301,0.1875,0.0244,0.0000
"PO_BRX PRC",,Q6,S2,"2015-03-14 00:00:00",130,18,0.1385,0.1111,0.0154,0.0000
"PO_BRX PRC",,Q7,,"2014-06-01 00:00:00",1471,262,0.1781,0.3092,0.0551,0.0014
"PO_BRX PRC",,Q8,,"2014-09-01 00:00:00",801,120,0.1496,0.1500,0.0224,0.0000
"PO_BRX PRC",,Q8,S1,"2015-03-10 00:00:00",129,18,0.1395,0.0556,0.0078,0.0000
"PO_BRX PRC",,Q8,S2,"2015-03-12 00:00:00",137,16,0.1168,0.1250,0.0146,0.0000
"PO_BRX PRC",,R1,,"2014-08-24 00:00:00",111,39,0.3514,0.4359,0.1532,0.0000
"PO_BRX PRC",,R2,,"2014-09-06 00:00:00",103,28,0.2718,0.2143,0.0583,0.0000
"PO_BRX PRC",,R3,,"2014-07-30 00:00:00",95,22,0.2316,0.2273,0.0526,0.0000
"PO_BRX PRC",,R4,,"2015-02-11 00:00:00",77,9,0.1169,0.2222,0.0260,0.0000
"PO_BRX PRC",,S1,,"2014-11-15 00:00:00",68,18,0.2647,0.3333,0.0882,0.0000
"PO_BRX PRC",,S2,,"2015-03-22 00:00:00",68,25,0.3676,0.2400,0.0882,0.0000
"PO_BRX PRC",,S3,,"2015-02-19 00:00:00",68,24,0.3529,0.3750,0.1324,0.0000
"PO_BRX PRC",,S4,,"2014-11-22 00:00:00",41,15,0.3659,0.0000,0.0000,0.0000
"PO_BRX PRC",,S4,S1,"2015-03-09 00:00:00",10,2,0.2000,0.0000,0.0000,0.0000
"PO_BRX PRC",,S4,S2,"2015-03-12 00:00:00",15,1,0.0667,1.0000,0.0667,0.0000
"PO_BRX PRC",,S5,,"2014-12-04 00:00:00",33,11,0.3333,0.0000,0.0000,0.0000
"PO_BRX PRC",,S5,S1,"2015-03-28 00:00:00",7,4,0.5714,0.2500,0.1429,0.0000
"PO_BRX PRC",,S5,S2,"2015-03-29 00:00:00",17,2,0.1176,0.5000,0.0588,0.0000
"PO_BRX PRC",,S6,,"2015-02-25 00:00:00",36,11,0.3056,0.0909,0.0278,0.0000
"PO_BRX PRC",,S6,S1,"2015-03-08 00:00:00",10,0,0.0000,0.0000,0.0000,0.0000
"PO_BRX PRC",,S6,S2,"2015-03-10 00:00:00",12,4,0.3333,0.0000,0.0000,0.0000
"PO_BRX PRC",,S7,,"2015-02-07 00:00:00",47,14,0.2979,0.3571,0.1064,0.0000
"PO_BRX PRC",,S8,,"2015-03-18 00:00:00",25,2,0.0800,0.5000,0.0400,0.0000
"PO_BRX PRC",,U1,,"2014-10-28 00:00:00",46,21,0.4565,0.4286,0.1957,0.0000
"PO_BRX PRC",,U2,,"2015-01-16 00:00:00",45,20,0.4348,0.3500,0.1522,0.0000
"PO_BRX PRC",,U3,,"2014-10-30 00:00:00",45,18,0.4000,0.5000,0.2000,0.0000
"PO_BRX PRC",,U4,,"2014-11-23 00:00:00",35,9,0.2571,0.0000,0.0000,0.0000
"PO_BRX PRC",,U5,,"2014-12-04 00:00:00",30,12,0.4000,0.0000,0.0000,0.0000
"PO_BRX PRC",,U6,,"2014-12-03 00:00:00",27,11,0.4074,0.0000,0.0000,0.0000
"PO_BRX PRC",,U7,,"2015-03-07 00:00:00",24,9,0.3750,0.1111,0.0417,0.0000
"PO_BRX PRC",,U8,,"2015-02-14 00:00:00",10,3,0.3000,0.0000,0.0000,0.0000
"PO_BRX PRC",,W1,,"2015-01-14 00:00:00",28,12,0.4286,0.4167,0.1786,0.0000
"PO_BRX PRC",,W2,,"2015-01-26 00:00:00",24,10,0.4167,0.4000,0.1667,0.0000
"PO_BRX PRC",,W3,,"2015-01-29 00:00:00",25,11,0.4400,0.1818,0.0800,0.0000
"PO_BRX PRC",,W4,,"2015-01-21 00:00:00",24,9,0.3750,0.1111,0.0417,0.0000
"PO_BRX PRC",,W5,,"2015-01-23 00:00:00",24,5,0.2083,0.0000,0.0000,0.0000
"PO_BRX PRC",,W6,,"2015-02-04 00:00:00",24,7,0.2917,0.1429,0.0417,0.0000
"PO_BRX PRC",,W7,,"2015-02-08 00:00:00",24,8,0.3333,0.3750,0.1250,0.0417
"PO_BRX PRC",,W8,,"2015-02-11 00:00:00",23,9,0.3913,0.3333,0.1304,0.0000
"PO_BRX PRC",,W9,,"2015-03-01 00:00:00",13,3,0.2308,0.3333,0.0769,0.0000
"PO_BRX PRC",,X2,,"2014-05-18 00:00:00",54,18,0.3333,0.3333,0.1111,0.0000
"PO_BRX PRC",,X3,,"2014-03-27 00:00:00",50,16,0.3200,0.1250,0.0400,0.0000
"PO_BRX PRC [temp - 130930]",,,,"2013-10-14 00:00:00",41,7,0.1707,0.1429,0.0244,0.0000
"PO_BRX PRC [temp - 131029]",,,,"2013-11-03 00:00:00",142,35,0.2465,0.3143,0.0775,0.0000
PW_BRX_Beta_4_Preorder,,ATT_TPO_ALL,S1,"2014-09-19 00:00:00",390,61,0.1564,0.1311,0.0205,0.0000
PW_BRX_Beta_4_Preorder,,ATT_TPO_Beta,S2,"2014-09-19 00:00:00",81,23,0.2840,0.1739,0.0494,0.0000
PW_BRX_Beta_4_Preorder,,VZN_TPO_ALL,S1,"2014-09-19 00:00:00",222,42,0.1892,0.1429,0.0270,0.0000
PW_BRX_Beta_4_Preorder,,VZN_TPO_Beta,S2,"2014-09-19 00:00:00",55,8,0.1455,0.1250,0.0182,0.0000
"TA_BRX Retention",,AC5_X4_1_11,S1,"2015-02-19 00:00:00",35,13,0.3714,0.0769,0.0286,0.0286
"TA_BRX Retention",,AC5_X4_1_11,S2,"2015-02-19 00:00:00",34,9,0.2647,0.2222,0.0588,0.0000
"TA_BRX Retention",,AC5_X4_1_11,S3,"2015-02-20 00:00:00",2045,297,0.1442,0.1751,0.0253,0.0010
"TA_BRX Retention",,AC5_X4_1_15,S3,"2015-02-23 00:00:00",1441,195,0.1341,0.1077,0.0144,0.0000
"TA_BRX Retention",,AC5_X4_2_12,,"2015-02-25 00:00:00",2106,209,0.0984,0.0718,0.0071,0.0019
"TA_BRX Retention",,AC5_X4_2_15,,"2015-02-27 00:00:00",1438,129,0.0895,0.0620,0.0055,0.0000
"TA_BRX Retention",,AC5_X4_3_12_ATT,,"2015-03-03 00:00:00",363,46,0.1264,0.0435,0.0055,0.0000
"TA_BRX Retention",,AC5_X4_3_15_ATT,,"2015-03-06 00:00:00",244,22,0.0898,0.0909,0.0082,0.0000
"TA_BRX Retention",,X4_AC5_1_11,S1,"2015-02-19 00:00:00",21,5,0.2381,0.4000,0.0952,0.0000
"TA_BRX Retention",,X4_AC5_1_11,S2,"2015-02-19 00:00:00",28,10,0.3448,0.0000,0.0000,0.0000
"TA_BRX Retention",,X4_AC5_1_11,S3,"2015-02-23 00:00:00",229,30,0.1304,0.2000,0.0261,0.0000
"TA_BRX Retention",,X4_AC5_1_15,S3,"2015-02-23 00:00:00",205,38,0.1836,0.2368,0.0435,0.0000
"TA_BRX Retention",,X4_AC5_2_12,,"2015-02-25 00:00:00",278,30,0.1079,0.1000,0.0108,0.0036
"TA_BRX Retention",,X4_AC5_2_15,,"2015-02-27 00:00:00",204,15,0.0735,0.0000,0.0000,0.0000
"TA_BRX Retention",,X4_AC5_3_12_ATT,,"2015-03-03 00:00:00",43,7,0.1628,0.0000,0.0000,0.0000
"TA_BRX Retention",,X4_AC5_3_15_ATT,,"2015-03-06 00:00:00",40,6,0.1500,0.0000,0.0000,0.0000
"TA_BRX Retention",,X4_NE_1_11,S1,"2015-02-19 00:00:00",1,0,0.0000,0.0000,0.0000,0.0000
"TA_BRX Retention",,X4_NE_1_11,S2,"2015-02-19 00:00:00",7,2,0.2857,0.0000,0.0000,0.0000
"TA_BRX Retention",,X4_NE_1_11,S3,"2015-02-23 00:00:00",5,0,0.0000,0.0000,0.0000,0.0000
"TA_BRX Retention",,X4_NE_1_15,S3,"2015-02-20 00:00:00",13,0,0.0000,0.0000,0.0000,0.0000
"TA_BRX Retention",,X4_NE_2_12,,"2015-02-25 00:00:00",13,1,0.0769,0.0000,0.0000,0.0000
"TA_BRX Retention",,X4_NE_2_15,,"2015-02-27 00:00:00",13,0,0.0000,0.0000,0.0000,0.0000
"TA_BRX Retention",,X4_NE_3_12_ATT,,"2015-03-03 00:00:00",3,0,0.0000,0.0000,0.0000,0.0000
"TA_BRX Retention",,X4_NE_3_15_ATT,,"2015-03-06 00:00:00",3,0,0.0000,0.0000,0.0000,0.0000
X3_BRX_AEG_Thank_You_Automation,,,,"2014-08-25 00:00:00",47,17,0.3617,0.2941,0.1064,0.0000
"TQ_BRX Project Nil Launch"," Beta 3",T2_GEN,S7,"2015-04-22 00:00:00",583,86,0.1475,0.0814,0.0120,0.0000
"TR_Project Nil Launch Floodlight Features"," Beta 3",side,S1,"2015-04-15 00:00:00",1,0,0.0000,0.0000,0.0000,0.0000
"TR_Project Nil Launch Floodlight Features"," Beta 3",side,S2,"2015-04-15 00:00:00",5,0,0.0000,0.0000,0.0000,0.0000
"TR_Project Nil Launch Floodlight Features"," Beta 3",side,S3,"2015-04-15 00:00:00",7,1,0.1429,0.0000,0.0000,0.0000
FR_AB4_Launch,"A) Active AB4 Handraisers",Handraiser,,"2013-04-27 00:00:00",306,114,0.3725,0.3421,0.1275,0.0000
FA_Beta_8_Handraiser,"A) Alpha Beta 8 Hand Raiser",,,"2013-04-05 00:00:00",4,3,0.7500,1.0000,0.7500,0.0000
FG_Beta_8_Launch,"A) Beta8 Hand Raisers",V2,,"2013-04-12 00:00:00",5,3,0.6000,0.6667,0.4000,0.0000
FP_AB4_Preorder,"A) Handraisers",ATT,,"2013-04-18 00:00:00",65,37,0.5692,0.5405,0.3077,0.0154
FP_AB4_Preorder,"A) Handraisers",SPR,,"2013-04-18 00:00:00",47,30,0.6250,0.3333,0.2083,0.0000
FP_AB4_Preorder,"A) Handraisers",USCC,,"2013-04-18 00:00:00",8,3,0.3750,0.0000,0.0000,0.0000
CN_Daily_Business_Highlights,AB3,,,"2013-04-10 00:00:00",74,22,0.2973,0.7727,0.2297,0.0000
JC_HB_Pre-Order,"AB3 Group2s (12+ months)",ATT_HB_PO,,"2013-09-27 00:00:00",1,1,1.0000,0.0000,0.0000,0.0000
JC_HB_Pre-Order,"AB3 Group2s (12+ months)",TMB_HB_PO,,"2013-09-27 00:00:00",2,0,0.0000,0.0000,0.0000,0.0000
JC_HB_Pre-Order,"AB3 Group2s (12+ months)",VZN_HB_PO,,"2013-09-27 00:00:00",3,1,0.3333,0.0000,0.0000,0.0000
MU_BRX_Alpha_S_5_Preorder,"AB3 Group2s (7-11 months)",ATT_AC5OFF_PO,S1,"2014-03-24 00:00:00",43,10,0.2326,0.1000,0.0233,0.0000
MU_BRX_Alpha_S_5_Preorder,"AB3 Group2s (7-11 months)",GEN_AC5_PO,S6,"2014-04-04 00:00:00",38,9,0.2368,0.1111,0.0263,0.0000
MU_BRX_Alpha_S_5_Preorder,"AB3 Group2s (7-11 months)",SPR_AC5_PO,S4,"2014-03-21 00:00:00",118,22,0.1864,0.2273,0.0424,0.0085
MU_BRX_Alpha_S_5_Preorder,"AB3 Group2s (7-11 months)",TMB_AC5OFF_PO,S3,"2014-03-26 00:00:00",71,12,0.1667,0.1667,0.0278,0.0000
CN_Daily_Business_Highlights,AB3A,,,"2013-04-10 00:00:00",140,29,0.2071,0.2759,0.0571,0.0000
"TD_BRX Group2s Stories",AB3AB4_ALL,AH_Group2_STORIES,S1,"2015-03-11 00:00:00",92,11,0.1196,0.1818,0.0217,0.0109
"TD_BRX Group2s Stories",AB3AB4_ALL,AH_Group2_STORIES,S2,"2015-03-11 00:00:00",78,11,0.1392,0.0000,0.0000,0.0000
"TD_BRX Group2s Stories",AB3AB4_ALL,AH_Group2_STORIES,S3,"2015-03-18 00:00:00",1265,197,0.1557,0.0711,0.0111,0.0000
CN_Daily_Business_Highlights,AB3C,,,"2013-07-12 00:00:00",6,2,0.3333,0.0000,0.0000,0.0000
N1_BRX_Alpha_S_5_Launch,"AB4 Group2s (7+ months)",ATT_AC5_LA_UPG,S17,"2014-05-01 00:00:00",48,5,0.1042,0.6000,0.0625,0.0000
N1_BRX_Alpha_S_5_Launch,"AB4 Group2s (7+ months)",ATT_AC5_LA_UPG,S2,"2014-04-11 00:00:00",66,18,0.2687,0.2778,0.0746,0.0000
N1_BRX_Alpha_S_5_Launch,"AB4 Group2s (7+ months)",GEN_AC5_LA_UPG,S11,"2014-04-16 00:00:00",192,11,0.0573,0.2727,0.0156,0.0000
N1_BRX_Alpha_S_5_Launch,"AB4 Group2s (7+ months)",GEN_AC5_LA_UPG,S17,"2014-05-01 00:00:00",64,4,0.0625,0.0000,0.0000,0.0000
N1_BRX_Alpha_S_5_Launch,"AB4 Group2s (7+ months)",SPR_AC5_LA_UPG,S17,"2014-05-01 00:00:00",51,4,0.0784,0.2500,0.0196,0.0000
N1_BRX_Alpha_S_5_Launch,"AB4 Group2s (7+ months)",SPR_AC5_LA_UPG,S7,"2014-04-11 00:00:00",55,1,0.0182,0.0000,0.0000,0.0000
N1_BRX_Alpha_S_5_Launch,"AB4 Group2s (7+ months)",TMB_AC5_LA_UPG,S13,"2014-04-11 00:00:00",74,14,0.1892,0.2857,0.0541,0.0000
N1_BRX_Alpha_S_5_Launch,"AB4 Group2s (7+ months)",TMB_AC5_LA_UPG,S19,"2014-05-01 00:00:00",58,10,0.1695,0.2000,0.0339,0.0000
N1_BRX_Alpha_S_5_Launch,"AB4 Group2s (7+ months)",USC_AC5_LA_UPG,S17,"2014-05-01 00:00:00",3,0,0.0000,0.0000,0.0000,0.0000
N1_BRX_Alpha_S_5_Launch,"AB4 Group2s (7+ months)",USC_AC5_LA_UPG,S4,"2014-04-11 00:00:00",4,1,0.2500,0.0000,0.0000,0.0000
N1_BRX_Alpha_S_5_Launch,"AB4 Group2s (7+ months)",VZN_AC5_LA_UPG,S17,"2014-05-01 00:00:00",77,16,0.2078,0.2500,0.0519,0.0000
N1_BRX_Alpha_S_5_Launch,"AB4 Group2s (7+ months)",VZN_AC5_LA_UPG,S9,"2014-04-11 00:00:00",77,4,0.0519,1.0000,0.0519,0.0000
CN_Daily_Business_Highlights,AB4C,,,"2013-07-12 00:00:00",2,0,0.0000,0.0000,0.0000,0.0000
MU_BRX_Alpha_S_5_Preorder,"AC5 Handraisers",ATT_AC5OFF_PO,S1,"2014-03-24 00:00:00",83,47,0.5663,0.4468,0.2530,0.0120
MU_BRX_Alpha_S_5_Preorder,"AC5 Handraisers",GEN_AC5_PO,S6,"2014-04-04 00:00:00",119,48,0.4034,0.3958,0.1597,0.0000
MU_BRX_Alpha_S_5_Preorder,"AC5 Handraisers",SPR_AC5_PO,S4,"2014-03-21 00:00:00",57,24,0.4211,0.5000,0.2105,0.0000
MU_BRX_Alpha_S_5_Preorder,"AC5 Handraisers",TMB_AC5OFF_PO,S3,"2014-03-26 00:00:00",71,23,0.3239,0.3478,0.1127,0.0000
MU_BRX_Alpha_S_5_Preorder,"AC5 Handraisers",USC_AC5OFF_PO,S2,"2014-03-21 00:00:00",7,5,0.7143,0.4000,0.2857,0.0000
"TD_BRX Group2s Stories",AC5_ALL,AH_Group2_STORIES,S1,"2015-03-11 00:00:00",68,8,0.1176,0.1250,0.0147,0.0000
"TD_BRX Group2s Stories",AC5_ALL,AH_Group2_STORIES,S2,"2015-03-11 00:00:00",85,19,0.2235,0.0000,0.0000,0.0000
