Carrier,Reg_Year,Reg_Month,Device_Model,Count
VERIZON,2008,11,ASDASDASDCH-U3QWE0ZB123VZW,1
VERIZON,2008,11,ASDASDASDCH-U3QWE0ZBDVZW,1
VERIZON,2008,11,ASDASDASDCH-UASDQWE0Z123123VZW,1
"VIRGIN MOBILE",2008,11,ASDASDASDPH-M310ZK123VMU,2
T-MOBILE,2008,11,ASDASDASDGH-T919CNBTMB,1
T-MOBILE,2008,11,ASDASDASDGH-TASD29ZKBTMB,1
T-MOBILE,2008,11,ASDASDASDGH-TQWE59BG123TMB,1
T-MOBILE,2008,12,ASDASDASDGH-TASD29ZKBTMB,1
T-MOBILE,2008,12,ASDASDASDGH-TQWE59BG123TMB,1
AT&T,2008,12,ASDASDASDGH-12323ASDRK123123TT,1
AT&T,2008,12,ASDASDASDGH-12351ASDZK123123TT,1
AT&T,2008,12,ASDASDASDGH-12383ASDDK123123TT,2
AT&T,2008,12,ASDASDASDGH-12386ASDZK123123TT,1
AT&T,2008,12,ASDASDASDGH-123ASD3ASDZR123123TT,1
AT&T,2008,12,ASDASDASDGH-123ASD6ASDWR123123TT,1
AT&T,2008,12,ASDASDASDGH-I61ASDTI123123TT,1
AT&T,2008,12,ASDASDASDGH-I61ASDWR123123TT,2
AT&T,2008,12,ASDASDASDGH-I61ASDZK123123TT,1
AT&T,2008,12,ASDASDASDGH-I90ASDZK123123TT,1
VERIZON,2008,12,ASDASDASDCH-I910ZK123VZW,1
SPRINT,2008,12,ASDASDASDPH-M320ZASDASDASD123ASDASDASDPR,3
SPRINT,2008,12,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
SPRINT,2008,12,ASDASDASDPH-M5QWE0ZK123ASDASDASDPR,1
SPRINT,2008,12,ASDASDASDPH-M5QWE0ZR123ASDASDASDPR,2
SPRINT,2008,12,ASDASDASDPH-M800ZK123ASDASDASDPR,2
T-MOBILE,2009,1,ASDASDASDGH-T919CNBTMB,1
T-MOBILE,2009,1,ASDASDASDGH-TASD29ZKBTMB,1
T-MOBILE,2009,1,ASDASDASDGH-TQWE59BG123TMB,1
"US CELLULAR",2009,1,ASDASDASDCH-R800ZK123UASDASDASDC,1
VERIZON,2009,1,ASDASDASDCH-I910ZK123VZW,1
VERIZON,2009,1,ASDASDASDCH-U900ZR123VZW,1
SPRINT,2009,1,ASDASDASDPH-M320ZASDASDASD123ASDASDASDPR,2
SPRINT,2009,1,ASDASDASDPH-M5QWE0ZK123ASDASDASDPR,1
SPRINT,2009,1,ASDASDASDPH-M800PRBASDASDASDPR,1
SPRINT,2009,1,ASDASDASDPH-M800ZK123ASDASDASDPR,4
ALLTEL,2009,1,ASDASDASDCH-R800ZK123123TL,1
AT&T,2009,1,ASDASDASDGH-12311ASDZK123123TT,1
AT&T,2009,1,ASDASDASDGH-12323ASDLB123123TT,1
AT&T,2009,1,ASDASDASDGH-12351ASDZK123123TT,1
AT&T,2009,1,ASDASDASDGH-12386ASDZK123123TT,4
AT&T,2009,1,ASDASDASDGH-123ASD3ASDYG123123TT,1
AT&T,2009,1,ASDASDASDGH-123ASD3ASDZO123123TT,1
AT&T,2009,1,ASDASDASDGH-123ASD6ASD123G123123TT,1
AT&T,2009,1,ASDASDASDGH-I61ASDZK123123TT,2
CRICKET,2009,1,ASDASDASDCH-RQWE50123G123CRI,1
"METRO PCS",2009,2,ASDASDASDCH-RQWE50ZK123MTR,1
SPRINT,2009,2,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
SPRINT,2009,2,ASDASDASDPH-M5QWE0ZK123ASDASDASDPR,2
SPRINT,2009,2,ASDASDASDPH-M800PRBASDASDASDPR,2
SPRINT,2009,2,ASDASDASDPH-M800ZK123ASDASDASDPR,5
T-MOBILE,2009,2,ASDASDASDGH-T919CNBTMB,1
T-MOBILE,2009,2,ASDASDASDGH-TASD39TASDASDASDBTMB,1
VERIZON,2009,2,ASDASDASDCH-I910ZK123VZW,1
