Campaign Name,Audience,Version,Subject Line,Deployment Date,Unique Emails Delivered,Unique Emails Opened,Unique Clickers,Open Rate,Click Rate,Click To Open Rate,Unsub Rate
AR_PRC_Trigger,,BRX Generic,S3,3/12/2014,31,10,4,0.3226,0.129,0.4,0
AR_PRC_Trigger,,BRX Generic,S3,3/17/2014,37,13,3,0.3514,0.0811,0.23076923,0
AR_PRC_Trigger,,BRX Generic,S3,3/21/2014,33,13,1,0.3939,0.0303,0.07692308,0
AR_PRC_Trigger,,BRX Generic,S3,3/22/2014,36,14,1,0.3889,0.0278,0.07142857,0
AR_PRC_Trigger,,BRX Generic,S3,3/30/2014,29,9,5,0.3103,0.1724,0.55555556,0
AR_PRC_Trigger,,BRX Generic,S3,4/2/2014,22,6,3,0.2727,0.1364,0.5,0
AR_PRC_Trigger,,BRX Generic,S3,4/13/2014,10,5,2,0.5,0.2,0.4,0
AR_PRC_Trigger,,BRX Generic,S3,4/15/2014,12,5,1,0.4167,0.0833,0.2,0
AR_PRC_Trigger,,BRX Generic,S3,4/21/2014,33,9,3,0.2727,0.0909,0.33333333,0
AR_PRC_Trigger,,BRX Generic,S4,10/30/2013,8,6,3,0.75,0.375,0.5,0
AR_PRC_Trigger,,BRX Generic,S4,11/15/2013,6,3,1,0.5,0.1667,0.33333333,0
AR_PRC_Trigger,,BRX Generic,S4,12/24/2013,13,4,1,0.3077,0.0769,0.25,0
AR_PRC_Trigger,,BRX Generic,S4,5/31/2014,10,4,1,0.4,0.1,0.25,0
AR_PRC_Trigger,,BRX Generic,S4,7/5/2014,16,6,3,0.375,0.1875,0.5,0
AR_PRC_Trigger,,BRX Generic,S4,7/27/2014,12,5,0,0.4167,0,0,0
AR_PRC_Trigger,,BRX Generic,S4,8/2/2014,22,8,4,0.3636,0.1818,0.5,0
AR_PRC_Trigger,,BRX Generic,S4,8/14/2014,14,8,4,0.5714,0.2857,0.5,0
AR_PRC_Trigger,,BRX Generic,S4,9/1/2014,11,6,3,0.5455,0.2727,0.5,0
AR_PRC_Trigger,,BRX Generic,S4,9/5/2014,10,3,1,0.3,0.1,0.33333333,0
AR_PRC_Trigger,,BRX Generic,S4,10/1/2014,8,4,0,0.5,0,0,0
AR_PRC_Trigger,,BRX Generic,S4,10/4/2014,14,7,3,0.5,0.2143,0.42857143,0
AR_PRC_Trigger,,BRX Generic,S4,10/7/2014,17,10,2,0.5882,0.1176,0.2,0
AR_PRC_Trigger,,BRX Generic,S4,10/9/2014,17,10,1,0.5882,0.0588,0.1,0
AR_PRC_Trigger,,BRX Generic,S4,10/18/2014,19,7,2,0.3684,0.1053,0.28571428,0
AR_PRC_Trigger,,BRX Generic,S4,10/29/2014,8,4,0,0.5,0,0,0
AR_PRC_Trigger,,BRX Generic,S4,11/11/2014,16,8,2,0.5,0.125,0.25,0
AR_PRC_Trigger,,BRX Generic,S4,11/16/2014,23,12,1,0.5217,0.0435,0.08333333,0
AR_PRC_Trigger,,BRX Generic,S4,1/6/2015,2,0,0,0,0,0,0
AR_PRC_Trigger,,BRX Generic,S4,1/9/2015,10,2,0,0.2,0,0,0
AR_PRC_Trigger,,BRX Generic,S4,1/29/2015,8,3,0,0.375,0,0,0
AR_PRC_Trigger,,BRX Generic,S4,3/24/2015,15,4,0,0.2667,0,0,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,6/26/2013,1,1,1,1,1,1,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,10/25/2013,8,3,1,0.375,0.125,0.33333333,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,11/5/2013,6,2,0,0.3333,0,0,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,11/21/2013,10,3,0,0.3,0,0,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,12/9/2013,9,5,0,0.5556,0,0,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,12/16/2013,13,5,2,0.3846,0.1538,0.4,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,1/17/2014,15,6,1,0.4,0.0667,0.16666667,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,6/15/2014,12,6,2,0.5,0.1667,0.33333333,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,7/22/2014,5,1,0,0.2,0,0,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,8/19/2014,9,4,0,0.4444,0,0,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,9/2/2014,5,1,0,0.2,0,0,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,9/10/2014,7,2,1,0.2857,0.1429,0.5,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,9/17/2014,5,2,0,0.4,0,0,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,9/22/2014,6,1,0,0.1667,0,0,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,10/1/2014,7,1,0,0.1429,0,0,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,10/14/2014,7,3,0,0.4286,0,0,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,12/26/2014,26,8,0,0.3077,0,0,0
AR_PRC_Trigger,,BRX Generic Tablet,S3,3/11/2015,9,6,0,0.6667,0,0,0
AR_PRC_Trigger [temp - 130820],,,S3,8/26/2013,12,5,5,0.4167,0.4167,1,0
AR_PRC_Trigger [temp - 140103],,,S3,1/7/2014,9,5,2,0.5556,0.2222,0.4,0
AR_PRC_Trigger [temp - 140103],,,S4,1/7/2014,24,6,7,0.25,0.2917,1.16666666,0
AR_PRC_Trigger [temp 3],,,S3,5/2/2014,17,5,1,0.2941,0.0588,0.2,0
AR_PRC_Trigger [temp 3],,,S3,5/15/2014,4,1,0,0.25,0,0,0
AR_PRC_Trigger [temp 3],,,S4,5/3/2014,71,36,18,0.507,0.2535,0.5,0
AR_PRC_Trigger [temp 3],,BRX Alpha X 4,S4,12/1/2014,12,2,1,0.1667,0.0833,0.5,0
