carrier	device_model	MONTHNAME(DeviceRegistration.registration_date)	YEAR(DeviceRegistration.registration_date)	COUNT(*)
	ASDASDASDGH-D80ASDZK123CIN	December	2013	1
	ASDASDASDGH-DQWE0ASDZK123CIN	December	2013	1
	ASDASDASDGH-DQWE15	December	2013	1
	ASDASDASDGH-E105	December	2013	1
	ASDASDASDGH-E105CASDASDASD123TMB	December	2013	1
	ASDASDASDGH-E315	December	2013	1
	ASDASDASDGH-E315CASDASDASD123TMB	December	2013	1
	ASDASDASDGH-E315CASDASDASDBTMB	December	2013	1
	ASDASDASDGH-E316	December	2013	1
	ASDASDASDGH-E316CASDASDASD123123WASDASDASD	December	2013	1
	ASDASDASDGH-E31ASD	December	2013	1
	ASDASDASDGH-E31ASDCASDASDASDBCIN	December	2013	1
	ASDASDASDGH-E335	December	2013	1
	ASDASDASDGH-E335IBBTMB	December	2013	1
	ASDASDASDGH-E635OK123TMB	December	2013	1
	ASDASDASDGH-E635OKBTMB	December	2013	1
	ASDASDASDGH-EASD15	December	2013	1
	ASDASDASDGH-EASD15E123123TMB	December	2013	1
	ASDASDASDGH-I33ASDZBM123TT	December	2013	1
	ASDASDASDGH-I33ASDZKN123TT	December	2013	1
	ASDASDASDGH-I60ASD	December	2013	1
	ASDASDASDGH-I60ASDZK123CIN	December	2013	1
	ASDASDASDGH-I61ASDZKZ123TT	December	2013	1
	ASDASDASDGH-N105	December	2013	1
	ASDASDASDGH-N625	December	2013	1
	ASDASDASDGH-P10ASD	December	2013	1
	ASDASDASDGH-P20ASD	December	2013	1
	ASDASDASDGH-PASD35	December	2013	1
	ASDASDASDGH-PASD35MASDASDASD123TMB	December	2013	1
	ASDASDASDGH-PASDASDASD	December	2013	1
	ASDASDASDGH-PASDASDASDKASDASDASD123CIN	December	2013	1
	ASDASDASDGH-R225	December	2013	1
	ASDASDASDGH-R225M	December	2013	1
	ASDASDASDGH-T109OGBTMB	December	2013	1
	ASDASDASDGH-T139I123BTMK	December	2013	1
	ASDASDASDGH-T201VASDASDASDGTRF	December	2013	1
	ASDASDASDGH-T209NB123TMB	December	2013	1
	ASDASDASDGH-T209NBBTMB	December	2013	1
	ASDASDASDGH-T219	December	2013	1
	ASDASDASDGH-T219ASDASDASDR123TMB	December	2013	1
	ASDASDASDGH-T219ASDASDASDRBTMB	December	2013	1
	ASDASDASDGH-T219ASDASDASDRITMB	December	2013	1
	ASDASDASDGH-T219ASDASDASDRPTMB	December	2013	1
	ASDASDASDGH-T219ASDASDASDRWTMB	December	2013	1
	ASDASDASDGH-T229ASDASDASDR123TMB	December	2013	1
	ASDASDASDGH-T229ASDASDASDRBTMB	December	2013	1
	ASDASDASDGH-T239D123123TMB	December	2013	1
	ASDASDASDGH-T239D123WTMB	December	2013	1
	ASDASDASDGH-T309DASDASDASD123TMB	December	2013	1
	ASDASDASDGH-T309DASDASDASDBTMB	December	2013	1
	ASDASDASDGH-T319NBBTMB	December	2013	1
	ASDASDASDGH-T319NBWTMB	December	2013	1
	ASDASDASDGH-T329	December	2013	1
	ASDASDASDGH-T329NASDASDASD123TMB	December	2013	1
	ASDASDASDGH-T329TKBTMB	December	2013	1
	ASDASDASDGH-T329TKWTMB	December	2013	1
	ASDASDASDGH-T339RR123TMB	December	2013	1
	ASDASDASDGH-T339RRBTMB	December	2013	1
	ASDASDASDGH-T369ZK123TMB	December	2013	1
	ASDASDASDGH-T399RN123TMB	December	2013	1
	ASDASDASDGH-T3QWE9123GCTMB	December	2013	1
	ASDASDASDGH-T3QWE9EB123TMB	December	2013	1
	ASDASDASDGH-T509DV123TMB	December	2013	1
	ASDASDASDGH-T509DVBTMB	December	2013	1
	ASDASDASDGH-T519TASDASDASDBTMB	December	2013	1
	ASDASDASDGH-T539123BBTMB	December	2013	1
	ASDASDASDGH-T539123BDTMB	December	2013	1
	ASDASDASDGH-T609PW123TMB	December	2013	1
	ASDASDASDGH-T619ASDASDASDASDASDASD123TMB	December	2013	1
	ASDASDASDGH-T629	December	2013	1
	ASDASDASDGH-T629123ASDASDASD123TMB	December	2013	1
	ASDASDASDGH-T629123ASDASDASDBTMB	December	2013	1
	ASDASDASDGH-T629123ASDASDASDMTMB	December	2013	1
	ASDASDASDGH-T629123ASDASDASDRTMB	December	2013	1
	ASDASDASDGH-T639LASDASDASD123TMB	December	2013	1
	ASDASDASDGH-T659OASDASDASD123TMB	December	2013	1
	ASDASDASDGH-T659OASDASDASDBTMB	December	2013	1
	ASDASDASDGH-T669123123123TMB	December	2013	1
	ASDASDASDGH-T669123RBTMB	December	2013	1
	ASDASDASDGH-T669Z123KGEN	December	2013	1
	ASDASDASDGH-T809OK123TMB	December	2013	1
	ASDASDASDGH-T809OKBTMB	December	2013	1
	ASDASDASDGH-T819CN123TMB	December	2013	1
	ASDASDASDGH-T819CNBTMB	December	2013	1
	ASDASDASDGH-T919CN123TMB	December	2013	1
	ASDASDASDGH-T919CN123TMK	December	2013	1
	ASDASDASDGH-T919OI123TMB	December	2013	1
	ASDASDASDGH-T919OI123TMK	December	2013	1
	ASDASDASDGH-T919OIBTMB	December	2013	1
	ASDASDASDGH-T929ZKBTMB	December	2013	1
	ASDASDASDGH-T929ZKDTMB	December	2013	1
	ASDASDASDGH-T939MNBTMB	December	2013	1
	ASDASDASDGH-TASD19DASDASDASDBTMB	December	2013	1
	ASDASDASDGH-TASD29ZK123TMB	December	2013	1
	ASDASDASDGH-TASD39TASDASDASD123TMB	December	2013	1
	ASDASDASDGH-TASDQWE9T123KTMB	December	2013	1
	ASDASDASDGH-TQWE29OB123TMB	December	2013	1
	ASDASDASDGH-TQWE29OBBTMB	December	2013	1
	ASDASDASDGH-TQWE39ZB123GEN	December	2013	1
	ASDASDASDGH-TQWE39ZB123TMB	December	2013	1
	ASDASDASDGH-TQWE59EG123GEN	December	2013	1
	ASDASDASDGH-TQWE59LG123TMB	December	2013	1
	ASDASDASDGH-TQWE69RRBTMB	December	2013	1
	ASDASDASDGH-TQWEASD9RN123TMB	December	2013	1
	ASDASDASDGH-V205	December	2013	1
	ASDASDASDGH-V206	December	2013	1
	ASDASDASDGH-X105	December	2013	1
	ASDASDASDGH-X506HB123GEN	December	2013	1
	ASDASDASDGH-X50ASD	December	2013	1
	ASDASDASDGH-XQWE26	December	2013	1
	ASDASDASDGH-XQWE26ZASDASDASD123123WASDASDASD	December	2013	1
	ASDASDASDGH-XQWE2ASD	December	2013	1
	ASDASDASDGH-XQWE2ASDM	December	2013	1
	ASDASDASDGH-XQWE2ASDMASDASDASDBCIN	December	2013	1
	ASDASDASDGH-XQWE2ASDMASDASDASDMCIN	December	2013	1
	ASDASDASDGH-XQWE2ASDZASDASDASD123CIN	December	2013	1
	ASDASDASDGH-XQWE95	December	2013	1
	ASDASDASDGH-XQWE95IBCTMB	December	2013	1
	ASDASDASDGH-XQWE95WASDASDASDBTMB	December	2013	1
	ASDASDASDGH-XQWE9ASD	December	2013	1
	ASDASDASDGH-XQWE9ASDOASDASDASD123CIN	December	2013	1
	ASDASDASDGH-XQWE9ASDZASDASDASD123CIN	December	2013	1
	ASDASDASDGH-XQWEASD5	December	2013	1
	ASDASDASDGH-XQWEASD5LASDASDASDBTMB	December	2013	1
	ASDASDASDGH-ZX20ZK123CIN	December	2013	1
	ASDASDASDIR-TASDASDASD360	December	2013	1
	ASDASDASDIR-TQWE51/X123123	December	2013	1
	ASDASDASDL-C1810W/X123123	December	2013	1
	ASDASDASDL-CQWE10W/X123123	December	2013	1
	ASDASDASDL-CQWE60FW/X123123	December	2013	1
	ASDASDASDL-M20ASD0W/X123123	December	2013	1
	ASDASDASDL-M2880FW/X123C	December	2013	1
	ASDASDASDL-M3820DW/X123123	December	2013	1
	ASDASDASDM-ASDASDASDASD66CZ123123TFN	December	2013	1
	ASDASDASDM-B311VZK123VZW	December	2013	1
	ASDASDASDM-G360PH123123ASDASDASDPR	December	2013	1
	ASDASDASDM-G360PZW123BASDASDASDT	December	2013	1
	ASDASDASDM-G360VH123123VZW	December	2013	1
	ASDASDASDM-G530123ZWZ123IO	December	2013	1
	ASDASDASDM-G900RZK123123CG	December	2013	1
	ASDASDASDM-G900RZK123LR123	December	2013	1
	ASDASDASDM-G900VMK123VZW	December	2013	1
	ASDASDASDM-G920PZK123BASDASDASDT	December	2013	1
	ASDASDASDM-G920TRW123TMB	December	2013	1
	ASDASDASDM-G925VZD123VZW	December	2013	1
	ASDASDASDM-N9000WDEMWD	December	2013	1
	ASDASDASDM-N910VMKEVZW	December	2013	1
	ASDASDASDM-N915RZKEUASDASDASDC	December	2013	1
	ASDASDASDM-R130NZKASDASDASDX123R	December	2013	1
	ASDASDASDM-T110NBG123X123R	December	2013	1
	ASDASDASDM-T230NYKUBNN	December	2013	1
	ASDASDASDM-T230NZWUBNN	December	2013	1
	ASDASDASDM-T360NNG123X123R	December	2013	1
	ASDASDASDM-T530NYKNX123R	December	2013	1
	ASDASDASDM-T530NYKUBNN	December	2013	1
	ASDASDASDM-T80ASDTTASDASDASD123TMB	December	2013	1
	ASDASDASDM-VASD00123ZW123X123R	December	2013	1
	ASDASDASDM-VASD00PZK123X123R	December	2013	1
	ASDASDASDM-VASD00TZK123X123R	December	2013	1
	ASDASDASDM-VASD00VZ123123X123R	December	2013	1
	ASDASDASDM-VASD00VZK123X123R	December	2013	1
	ASDASDASDMH1611B/X123123	December	2013	1
	ASDASDASDMH1622B/X123123	December	2013	1
	ASDASDASDMH1816ASDASDASD/X123123	December	2013	1
	ASDASDASDMH1926ASDASDASD/X123123	December	2013	1
	ASDASDASDMH1ASD13B/X123123	December	2013	1
	ASDASDASDMH8165ASDASDASDT/X123123	December	2013	1
	ASDASDASDMH8165ASDASDASDTE/X123123	December	2013	1
	ASDASDASDMH8165B/X123123	December	2013	1
	ASDASDASDMH9151B/X123123	December	2013	1
	ASDASDASDMH918ASDASDASDASDT/X123123	December	2013	1
	ASDASDASDMH918ASDASDASDASDT/X123C	December	2013	1
	ASDASDASDMH918ASDB/X123123	December	2013	1
	ASDASDASDMH918ASDW/X123123	December	2013	1
	ASDASDASDMH920ASDASDASDASDT/X123123	December	2013	1
	ASDASDASDMHASD18ASDASDASDASDTG/X123123	December	2013	1
	ASDASDASDMHASD1ASD8ASDASDASDTE/X123123	December	2013	1
	ASDASDASDMHASD1ASDASDASDASDASDTE/X123123	December	2013	1
	ASDASDASDMK91ASD5ASDASDASDT/X123123	December	2013	1
	ASDASDASDMQWEB311VZK123VZW	December	2013	1
	ASDASDASDMX-F50BN/X123123	December	2013	1
	ASDASDASDMX-FQWE0RN/X123123	December	2013	1
	ASDASDASDPASDASDASDQWE2QWE3X/X123123	December	2013	1
	ASDASDASDPH-123120C123BDYN	December	2013	1
	ASDASDASDPH-123500	December	2013	1
	ASDASDASDPH-123600	December	2013	1
	ASDASDASDPH-123600ZASDASDASDASDASDASDX123R	December	2013	1
	ASDASDASDPH-123620	December	2013	1
	ASDASDASDPH-123620/VG1231000	December	2013	1
	ASDASDASDPH-123620ZASDASDASDASDASDASDX123R	December	2013	1
	ASDASDASDPH-123660	December	2013	1
	ASDASDASDPH-123880	December	2013	1
	ASDASDASDPH-123920WASDASDASD123QASDASDASDT	December	2013	1
	ASDASDASDPH-123920WASDASDASDASDASDASDX123R	December	2013	1
	ASDASDASDPH-123ASD00BASDASDASDASDASDASDX123R	December	2013	1
	ASDASDASDPH-123ASD60DASDASDASDASDASDASDX123R	December	2013	1
	ASDASDASDPH-123QWE00	December	2013	1
	ASDASDASDPH-123QWE00ASDASDASDASDASDASD/X123R	December	2013	1
	ASDASDASDPH-123QWE60	December	2013	1
	ASDASDASDPH-I300	December	2013	1
	ASDASDASDPH-I300ASDASDASDASDASDASD/X123R	December	2013	1
	ASDASDASDPH-I330	December	2013	1
	ASDASDASDPH-I330ASDASDASDASDASDASD/X123R	December	2013	1
	ASDASDASDPH-I350DL123ASDASDASDPR	December	2013	1
	ASDASDASDPH-I500	December	2013	1
	ASDASDASDPH-I500ASDASDASDASDASDASD/X123R	December	2013	1
	ASDASDASDPH-IASD00	December	2013	1
	ASDASDASDPH-IASD00MASDASDASDVX123R	December	2013	1
	ASDASDASDPH-IASD00MASDASDASDX123R	December	2013	1
	ASDASDASDPH-LASD10RWEVMU	December	2013	1
	ASDASDASDPH-LASD10RWRASDASDASDPR	December	2013	1
	ASDASDASDPH-LASD20ZKRASDASDASDPR	December	2013	1
	ASDASDASDPH-LASD20ZPRASDASDASDPR	December	2013	1
